[1114/115322.603:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[1115/091207.471:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091212.482:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091217.494:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091222.518:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091227.529:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091232.552:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091237.570:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091242.585:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091247.610:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091252.619:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091257.636:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091302.653:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091307.666:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091312.678:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091317.694:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091322.709:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091327.721:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091332.734:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091337.754:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091342.765:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091347.778:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091352.803:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091357.824:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091402.839:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091407.856:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091412.869:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091417.879:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091422.895:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091427.911:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091432.934:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091437.959:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091442.976:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091447.991:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091453.009:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091458.021:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091503.033:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091508.052:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091513.067:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091518.089:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091523.110:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091528.124:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091533.140:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091538.154:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091543.188:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091548.203:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091553.212:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091558.230:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091603.241:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091608.255:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091613.274:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091618.287:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091623.298:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091628.304:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091633.316:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091638.329:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091643.352:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091648.368:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091653.378:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091658.397:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091703.420:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091708.435:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091713.450:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091718.463:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091723.479:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091728.491:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091733.511:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091738.521:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091743.532:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091748.553:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091753.567:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091758.583:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091803.607:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091808.620:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091813.639:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091818.653:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091823.663:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091828.680:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091833.691:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091838.716:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091843.740:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091848.755:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091853.772:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091858.791:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091903.809:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091908.819:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091913.833:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091918.851:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091923.868:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091928.888:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091933.898:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091938.912:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091943.926:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091948.945:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091953.964:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/091958.977:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/092003.980:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1115/092003.994:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0105/153523.468:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0105/153523.590:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0105/153523.590:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0105/160542.750:ERROR:browser_gpu_channel_host_factory.cc(139)] Failed to launch GPU process.
[0106/141139.880:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141144.910:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141149.922:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141154.932:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141159.943:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141204.954:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141209.964:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141214.975:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141219.985:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141224.994:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141230.003:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141235.016:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141240.026:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141245.039:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141250.044:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141255.048:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141300.055:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141305.065:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141310.069:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141315.073:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141320.084:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141325.096:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141330.107:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141335.117:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141340.128:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141345.138:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141350.149:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141355.159:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141400.169:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141405.179:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141410.191:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141415.201:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141420.207:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141425.210:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141430.222:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141435.234:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141440.245:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141445.257:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141450.366:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141455.377:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141500.382:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141505.393:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141510.404:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141515.408:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141520.411:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141525.414:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141530.425:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141535.428:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141540.439:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141545.449:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141550.460:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141555.471:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141600.482:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141605.491:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141610.499:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141615.502:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141620.512:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141625.523:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141630.527:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141635.532:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141640.542:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141645.555:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141650.566:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141655.576:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141700.584:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141705.594:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141710.598:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141715.609:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141720.611:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141725.622:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141730.634:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141735.643:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0106/141740.653:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
